,category,title
36,Best Director, the deer hunter
37,Best Director, annie hall
38,Best Director, rocky
39,Best Director, one flew over the cuckoo's nest
40,Best Director, the godfather: part ii
41,Best Director, the sting
42,Best Director, cabaret
43,Best Director, the french connection
44,Best Director, patton
45,Best Director, midnight cowboy
46,Best Director, oliver!
47,Best Director,the graduate
48,Best Director, a man for all seasons
49,Best Director, the sound of music
50,Best Director, my fair lady
51,Best Director,tom jones
52,Best Director, lawrence of arabia
53,Best Director,west side story
54,Best Director, the apartment
55,Best Director, ben-hur
56,Best Director, gigi
57,Best Director, the bridge on the river kwai
58,Best Director, giant
59,Best Director, marty
60,Best Director, on the waterfront
61,Best Director, from here to eternity
62,Best Director, the quiet man
63,Best Director, a place in the sun
64,Best Director, all about eve
65,Best Director, a letter to three wives
66,Best Director, the treasure of the sierra madre
67,Best Director, gentleman's agreement
68,Best Director, the best years of our lives
69,Best Director, the lost weekend
70,Best Director, going my way
71,Best Director, casablanca
72,Best Director, mrs. miniver
73,Best Director, how green was my valley
74,Best Director, the grapes of wrath
75,Best Director, gone with the wind
76,Best Director, you can't take it with you
77,Best Director, the awful truth
78,Best Director, mr. deeds goes to town
79,Best Director, the informer
80,Best Director, it happened one night
81,Best Director, cavalcade
82,Best Director, bad girl
83,Best Director, skippy
84,Best Director, all quiet on the western front
85,Best Director, the divine lady
